,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
62017,2023,SE,FT,Security Engineer,135500,USD,135500,US,0,US,L
62018,2023,SE,FT,DevSecOps Engineer,253200,USD,253200,US,0,US,M
62019,2023,SE,FT,DevSecOps Engineer,156000,USD,156000,US,0,US,M
62020,2023,SE,FT,Security Engineer,273308,USD,273308,US,100,US,M
62021,2023,SE,FT,Security Engineer,182205,USD,182205,US,100,US,M
62022,2023,SE,FT,Security Engineer,194500,USD,194500,US,100,US,M
62023,2023,SE,FT,Security Engineer,136000,USD,136000,US,100,US,M
62024,2023,SE,FT,Security Engineer,112000,USD,112000,US,100,US,M
62025,2023,SE,FT,Security Engineer,64000,USD,64000,US,100,US,M
62026,2023,EN,FT,Security Consultant,60000,USD,60000,US,100,US,M
62027,2023,EN,FT,Security Consultant,36000,USD,36000,US,100,US,M
62028,2023,SE,FT,Security Engineer,141600,USD,141600,US,0,US,M
62029,2023,SE,FT,Security Engineer,101100,USD,101100,US,0,US,M
62030,2023,MI,FT,Security Engineer,219535,USD,219535,US,100,US,M
62031,2023,MI,FT,Security Engineer,146115,USD,146115,US,100,US,M
62032,2023,SE,FT,Security Engineer,95000,USD,95000,US,50,US,L
62033,2023,SE,FT,Security Researcher,165000,USD,165000,US,0,US,M
62034,2023,SE,FT,Security Researcher,107250,USD,107250,US,0,US,M
62035,2023,EX,FT,Security Engineer,250000,USD,250000,US,0,US,M
62036,2023,EX,FT,Security Engineer,180000,USD,180000,US,0,US,M
62037,2023,SE,FT,Security Engineer,200000,USD,200000,US,0,US,M
62038,2023,SE,FT,Security Engineer,168000,USD,168000,US,0,US,M
62039,2023,SE,FT,DevSecOps Engineer,180000,USD,180000,US,0,US,M
62040,2023,SE,FT,DevSecOps Engineer,140000,USD,140000,US,0,US,M
62041,2023,SE,FT,Security Engineer,229100,USD,229100,US,0,US,M
62042,2023,SE,FT,Security Engineer,205400,USD,205400,US,0,US,M
62043,2023,SE,FT,Security Engineer,247500,USD,247500,US,0,US,M
62044,2023,SE,FT,Security Engineer,153000,USD,153000,US,0,US,M
62045,2023,SE,FT,Incident Response Analyst,140000,USD,140000,US,0,US,M
62046,2023,SE,FT,Incident Response Analyst,100000,USD,100000,US,0,US,M
62047,2023,MI,FT,Systems Security Engineer,93500,USD,93500,US,50,US,L
62048,2023,SE,FT,Security Engineer,272300,USD,272300,US,0,US,M
62049,2023,SE,FT,Security Engineer,189400,USD,189400,US,0,US,M
62050,2023,SE,FT,Security Engineer,285000,USD,285000,US,100,US,M
62051,2023,SE,FT,Security Engineer,170000,USD,170000,US,100,US,M
62052,2023,SE,FT,Compliance Analyst,155000,USD,155000,US,0,US,M
62053,2023,SE,FT,Compliance Analyst,100750,USD,100750,US,0,US,M
62054,2023,MI,FT,Information Security Officer,80000,GBP,98432,GB,0,GB,M
62055,2023,MI,FT,Information Security Officer,31500,GBP,38757,GB,0,GB,M
62056,2023,SE,FT,DevSecOps Engineer,160000,USD,160000,US,0,US,M
62057,2023,SE,FT,DevSecOps Engineer,130000,USD,130000,US,0,US,M
62058,2023,SE,FT,Security Architect,200000,USD,200000,AU,0,AU,M
62059,2023,SE,FT,Security Architect,70000,USD,70000,AU,0,AU,M
62060,2023,MI,FT,Information Security Analyst,145000,USD,145000,US,0,US,M
62061,2023,MI,FT,Information Security Analyst,115000,USD,115000,US,0,US,M
62062,2023,SE,FT,DevSecOps Engineer,175000,USD,175000,US,100,US,M
62063,2023,SE,FT,DevSecOps Engineer,150000,USD,150000,US,100,US,M
62064,2023,SE,FT,Security Engineer,175000,USD,175000,US,100,US,M
62065,2023,SE,FT,Security Engineer,135000,USD,135000,US,100,US,M
62066,2023,SE,FT,Security Researcher,123400,USD,123400,US,0,US,M
62067,2023,SE,FT,Security Researcher,88100,USD,88100,US,0,US,M
62068,2023,SE,FT,Security Engineer,147100,USD,147100,US,0,US,M
62069,2023,SE,FT,Security Engineer,90700,USD,90700,US,0,US,M
62070,2023,SE,FT,Security Engineer,210000,USD,210000,US,100,US,M
62071,2023,SE,FT,Security Engineer,160000,USD,160000,US,100,US,M
62072,2023,EX,FT,Information Systems Security Manager,130000,USD,130000,US,0,US,M
62073,2023,EX,FT,Information Systems Security Manager,110000,USD,110000,US,0,US,M
62074,2023,SE,FT,Security Engineer,274600,USD,274600,US,0,US,M
62075,2023,SE,FT,Security Engineer,148800,USD,148800,US,0,US,M
62076,2023,MI,FT,Security Analyst,130000,USD,130000,US,100,US,M
62077,2023,MI,FT,Security Analyst,95000,USD,95000,US,100,US,M
62078,2023,MI,FT,DevSecOps Engineer,180000,USD,180000,US,0,US,M
62079,2023,MI,FT,DevSecOps Engineer,140000,USD,140000,US,0,US,M
62080,2023,MI,FT,Information Security Officer,135000,USD,135000,US,0,US,M
62081,2023,MI,FT,Information Security Officer,115000,USD,115000,US,0,US,M
62082,2023,SE,FT,DevSecOps Engineer,250000,USD,250000,US,100,US,M
